Status,Duration,CreditHistory,Purpose,CreditAmount,Savings,Employment,InstallmentRate,Residence,Housing,ExistingCredits,Job,Dependents,Telephone,Foreign,Risk
A61,A75,4,A93,A101,4,A123,28,A143,A152,1,A173,2,A191,A201,1
A61,A71,2,A93,A101,4,A124,75,A143,A153,2,A174,1,A192,A201,1
A62,A73,4,A92,A101,2,A121,30,A143,A152,2,A173,1,A191,A201,2
A62,A72,4,A92,A101,2,A122,24,A143,A152,1,A174,1,A191,A201,2
A62,A73,2,A92,A101,4,A123,24,A141,A151,2,A172,1,A191,A201,2
A61,A75,3,A93,A101,4,A124,23,A141,A151,2,A173,2,A191,A201,2
A61,A73,1,A91,A101,4,A121,44,A143,A151,1,A174,1,A192,A201,2
A61,A72,2,A92,A103,4,A122,23,A143,A152,1,A172,1,A191,A201,1
A65,A73,4,A92,A101,2,A123,24,A143,A151,1,A173,1,A191,A201,2
A61,A73,4,A93,A101,4,A122,28,A143,A152,1,A173,1,A191,A201,1
A61,A73,4,A91,A101,2,A123,31,A143,A152,1,A172,1,A191,A201,1
A61,A72,2,A92,A101,4,A124,24,A143,A153,2,A173,1,A192,A201,1
A61,A74,1,A92,A101,4,A123,26,A143,A151,1,A172,1,A191,A201,1
A63,A72,1,A94,A101,3,A121,25,A143,A151,1,A173,1,A191,A201,1
A61,A75,1,A93,A102,1,A121,33,A141,A152,1,A174,1,A192,A201,1
A61,A72,1,A93,A103,1,A122,37,A143,A152,1,A172,2,A191,A201,1
A61,A73,4,A92,A101,2,A123,43,A143,A152,1,A172,1,A191,A201,1
A61,A72,4,A93,A103,4,A121,23,A143,A152,2,A173,1,A191,A201,1
A63,A71,1,A92,A101,4,A124,23,A143,A151,1,A171,1,A191,A201,1
A62,A73,1,A93,A101,2,A121,34,A143,A152,2,A172,1,A191,A201,1
A64,A75,4,A93,A101,3,A124,32,A143,A153,2,A173,2,A191,A201,2
A61,A72,1,A92,A101,4,A121,23,A143,A151,1,A173,1,A192,A201,1
A61,A73,1,A92,A101,2,A123,29,A143,A152,1,A173,1,A191,A202,2
A65,A71,2,A93,A101,4,A124,38,A143,A152,1,A174,1,A192,A201,1
A61,A73,4,A93,A101,2,A122,28,A143,A151,2,A173,1,A192,A201,2
A63,A75,4,A93,A101,4,A124,46,A143,A153,1,A173,1,A192,A201,1
A61,A72,4,A93,A101,2,A121,23,A142,A152,1,A172,1,A191,A201,2
A65,A75,1,A93,A102,4,A121,49,A143,A152,1,A173,1,A192,A201,1
A61,A73,4,A93,A101,2,A123,26,A143,A152,2,A174,1,A192,A201,2
A61,A73,4,A94,A101,2,A121,28,A143,A152,1,A173,1,A191,A201,1
A61,A74,4,A92,A101,4,A121,23,A143,A151,1,A173,1,A191,A201,2
A65,A73,4,A93,A101,4,A124,61,A143,A153,1,A173,1,A191,A201,1
A65,A75,2,A93,A101,3,A123,37,A143,A152,1,A174,1,A191,A201,1
A61,A73,2,A92,A101,2,A123,36,A142,A152,2,A173,1,A192,A201,1
A61,A73,1,A94,A101,2,A122,21,A143,A151,1,A173,1,A191,A201,1
A61,A71,4,A93,A101,1,A123,25,A143,A152,1,A171,1,A191,A201,2
A61,A74,2,A93,A101,4,A123,36,A143,A152,1,A173,1,A192,A201,1
A61,A74,3,A93,A101,1,A123,27,A143,A152,2,A173,1,A191,A201,1
A61,A72,1,A92,A101,4,A123,22,A143,A151,1,A173,1,A191,A201,1
A61,A75,4,A93,A101,2,A123,42,A143,A152,1,A173,2,A191,A201,2
A61,A74,2,A92,A101,4,A121,40,A143,A151,1,A173,1,A191,A201,1
A65,A73,4,A93,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,1
A61,A75,3,A93,A101,4,A123,33,A143,A152,2,A173,1,A192,A201,1
A61,A72,1,A92,A101,3,A121,23,A143,A151,2,A173,1,A191,A201,1
A65,A75,2,A93,A101,4,A124,63,A141,A153,1,A174,1,A192,A201,1
A62,A75,3,A92,A101,4,A124,60,A141,A153,2,A174,1,A192,A201,2
A61,A74,2,A92,A103,4,A123,37,A143,A151,1,A173,1,A191,A201,2
A61,A71,2,A94,A101,3,A121,34,A143,A152,2,A173,1,A191,A201,1
A65,A75,3,A93,A101,4,A124,36,A143,A153,1,A173,1,A191,A201,1
A61,A75,4,A93,A101,2,A124,57,A143,A153,1,A174,1,A192,A201,2
A62,A73,4,A92,A101,4,A123,52,A143,A152,2,A172,1,A191,A201,1
A65,A74,4,A93,A101,4,A123,39,A143,A152,1,A173,1,A192,A201,1
A61,A71,3,A92,A101,4,A124,38,A143,A153,1,A174,1,A192,A201,2
A65,A74,4,A92,A101,4,A122,25,A143,A151,1,A173,1,A191,A201,1
A61,A72,4,A93,A101,1,A121,26,A143,A152,1,A173,1,A191,A201,1
A62,A73,2,A93,A101,2,A122,26,A143,A152,2,A172,1,A191,A201,1
A61,A73,2,A92,A101,1,A123,25,A143,A152,2,A173,1,A191,A201,1
A65,A72,4,A92,A101,2,A121,21,A143,A151,1,A173,1,A192,A201,1
A61,A71,4,A93,A101,4,A122,40,A142,A152,2,A174,1,A192,A201,1
A63,A73,2,A93,A101,4,A123,27,A141,A152,1,A173,1,A191,A201,1
A61,A74,3,A92,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1
A61,A73,2,A94,A101,2,A122,30,A143,A152,1,A174,1,A192,A201,1
A64,A72,1,A92,A101,4,A121,19,A143,A151,1,A172,1,A191,A201,1
A61,A74,2,A93,A101,4,A124,39,A141,A153,1,A174,2,A192,A201,1
A61,A74,1,A92,A101,4,A123,31,A143,A152,1,A173,1,A191,A201,1
A61,A71,2,A93,A101,3,A123,31,A143,A152,1,A174,1,A191,A201,1
A62,A74,2,A93,A101,3,A124,32,A143,A151,1,A173,1,A192,A201,1
A61,A71,3,A92,A101,4,A124,55,A143,A153,1,A174,1,A191,A201,1
A61,A73,3,A94,A101,2,A122,46,A143,A152,2,A173,1,A192,A201,1
A61,A75,1,A91,A101,1,A121,46,A143,A151,2,A173,1,A191,A201,2
A64,A73,4,A92,A101,1,A121,43,A143,A152,2,A172,1,A191,A201,1
A61,A72,3,A94,A101,4,A121,39,A143,A152,1,A173,1,A192,A201,1
A65,A73,4,A94,A101,4,A121,28,A141,A152,2,A173,1,A191,A201,1
A61,A72,2,A93,A101,2,A123,27,A141,A152,2,A173,1,A192,A201,2
A61,A73,4,A93,A101,2,A123,27,A143,A152,2,A172,1,A191,A201,1
A65,A75,4,A93,A101,4,A123,43,A143,A152,1,A173,2,A191,A201,1
A61,A72,1,A94,A101,1,A122,22,A143,A152,1,A173,1,A192,A201,2
A65,A74,4,A93,A101,4,A123,43,A143,A152,2,A173,2,A192,A201,1
A61,A72,4,A94,A101,2,A121,27,A143,A152,1,A173,1,A191,A202,1
A63,A75,3,A91,A101,2,A123,26,A143,A152,1,A174,1,A192,A201,1
A63,A74,4,A94,A101,2,A121,28,A143,A152,3,A173,1,A192,A201,2
A61,A75,4,A92,A101,4,A123,20,A143,A152,1,A173,1,A192,A201,1
A61,A74,3,A93,A101,2,A123,35,A143,A152,2,A174,1,A192,A201,1
A61,A71,4,A93,A101,2,A123,42,A142,A152,2,A174,1,A192,A201,2
A63,A73,3,A93,A101,2,A124,40,A143,A151,1,A172,2,A191,A202,1
A65,A73,4,A92,A101,2,A122,35,A143,A152,1,A173,1,A191,A201,2
A61,A75,2,A93,A101,2,A122,35,A143,A152,2,A173,2,A192,A201,1
A61,A72,4,A93,A101,1,A121,33,A143,A152,1,A172,2,A191,A201,2
A65,A73,1,A92,A101,2,A123,23,A143,A151,2,A173,1,A192,A201,1
A63,A74,1,A92,A101,2,A123,31,A141,A152,1,A174,1,A191,A201,1
A65,A73,4,A92,A101,2,A122,33,A143,A152,1,A173,1,A191,A201,2
A64,A74,2,A92,A101,3,A123,20,A143,A151,1,A173,1,A191,A201,1
A65,A73,4,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,1
A61,A74,2,A93,A101,3,A121,47,A143,A152,2,A172,2,A191,A201,1
A62,A74,4,A93,A101,3,A121,34,A143,A152,2,A174,1,A191,A201,1
A65,A75,1,A92,A101,2,A122,25,A141,A152,1,A173,1,A192,A201,2
A61,A73,1,A94,A101,3,A123,21,A143,A151,1,A173,1,A192,A201,1
A61,A75,4,A93,A101,2,A123,29,A143,A152,2,A173,1,A191,A201,1
A64,A73,4,A93,A101,3,A121,46,A143,A152,2,A173,1,A191,A201,1
A61,A75,1,A93,A101,4,A123,20,A143,A152,1,A173,1,A191,A201,1
A61,A71,2,A92,A101,4,A124,55,A143,A153,3,A171,2,A191,A201,2
A61,A74,1,A93,A101,4,A121,74,A143,A152,1,A172,1,A191,A201,1
A61,A73,2,A93,A102,3,A123,29,A141,A152,2,A174,1,A192,A201,2
A61,A71,4,A93,A101,4,A124,36,A143,A153,3,A174,1,A192,A201,1
A61,A73,4,A91,A101,2,A121,33,A143,A152,2,A173,1,A192,A201,1
A61,A73,3,A93,A101,2,A121,25,A143,A152,1,A173,1,A191,A201,1
A65,A73,2,A94,A101,1,A121,25,A143,A152,1,A173,1,A192,A201,2
A63,A74,2,A94,A101,4,A121,23,A143,A151,1,A172,1,A191,A201,1
A64,A75,4,A92,A101,4,A121,37,A143,A152,2,A173,1,A192,A201,1
A61,A71,4,A93,A102,4,A123,65,A143,A152,2,A171,1,A191,A201,1
A61,A72,4,A92,A101,1,A121,26,A143,A152,1,A171,1,A191,A201,2
A61,A75,4,A93,A101,4,A123,39,A143,A152,1,A174,1,A192,A201,1
A61,A73,2,A92,A102,3,A122,30,A143,A152,1,A173,1,A191,A201,1
A61,A73,2,A93,A101,3,A123,29,A141,A152,2,A173,1,A192,A201,1
A61,A75,4,A93,A101,4,A123,41,A141,A152,1,A172,2,A191,A201,2
A61,A73,2,A92,A101,3,A123,30,A143,A152,1,A174,1,A192,A201,2
A65,A75,4,A92,A101,4,A122,41,A143,A151,2,A172,1,A191,A201,1
A61,A72,4,A92,A101,4,A123,34,A143,A152,1,A173,1,A192,A201,2
A61,A73,2,A93,A103,2,A121,35,A143,A152,1,A173,1,A191,A201,1
A65,A75,3,A92,A101,4,A121,55,A143,A152,1,A174,1,A192,A201,1
A64,A73,3,A94,A101,3,A122,61,A142,A152,2,A173,1,A191,A201,2
A65,A73,4,A93,A101,2,A123,30,A143,A152,1,A174,1,A192,A201,1
A61,A73,3,A92,A101,1,A121,29,A143,A152,1,A173,1,A191,A201,1
A61,A75,2,A93,A101,4,A122,34,A143,A152,2,A173,1,A191,A201,1
A61,A75,4,A93,A101,4,A123,35,A143,A152,1,A174,1,A192,A201,1
A61,A74,2,A93,A102,3,A122,31,A143,A152,1,A173,1,A192,A201,2
A61,A72,4,A92,A101,1,A124,29,A143,A152,1,A174,1,A192,A201,1
A61,A73,2,A93,A101,2,A121,36,A143,A151,2,A173,2,A191,A201,1
A61,A75,3,A93,A101,4,A124,35,A143,A153,1,A173,1,A192,A201,2
A61,A72,4,A92,A101,1,A121,27,A143,A152,1,A173,1,A191,A201,1
A61,A72,3,A93,A101,2,A123,32,A143,A152,1,A173,1,A192,A201,1
A61,A73,1,A93,A103,2,A122,37,A143,A152,1,A173,2,A191,A201,1
A61,A72,2,A93,A101,3,A121,36,A143,A152,1,A173,1,A191,A201,1
A61,A72,3,A92,A101,1,A121,34,A143,A151,1,A174,1,A191,A201,1
A65,A75,4,A93,A101,4,A122,38,A143,A152,2,A173,1,A191,A201,1
A61,A74,4,A93,A101,1,A123,34,A142,A152,2,A173,1,A192,A201,1
A61,A73,3,A93,A103,4,A124,63,A141,A152,1,A173,2,A192,A201,1
A61,A72,4,A92,A101,2,A123,29,A143,A151,1,A172,1,A192,A201,2
A65,A75,3,A93,A101,3,A123,32,A141,A152,2,A173,2,A191,A201,1
A61,A73,2,A92,A101,2,A123,26,A143,A152,2,A173,1,A192,A201,1
A61,A74,3,A93,A101,3,A123,35,A143,A152,2,A172,1,A192,A201,1
A62,A72,3,A94,A101,2,A123,22,A143,A151,1,A173,1,A192,A201,2
A61,A72,4,A92,A101,4,A122,23,A143,A152,1,A173,1,A191,A201,2
A61,A73,4,A93,A101,3,A123,28,A143,A152,1,A172,1,A191,A201,2
A65,A71,4,A93,A101,4,A122,36,A143,A152,1,A174,2,A192,A201,1
A61,A73,4,A94,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,2
A61,A72,1,A92,A101,4,A122,26,A143,A151,1,A173,1,A191,A201,2
A63,A73,4,A93,A101,4,A123,24,A143,A152,1,A173,1,A191,A201,1
A61,A74,4,A93,A101,2,A123,25,A141,A152,1,A173,1,A191,A201,1
A62,A74,3,A93,A101,4,A121,39,A143,A152,1,A172,1,A191,A201,1
A61,A75,4,A93,A101,4,A123,44,A143,A152,2,A173,2,A192,A201,1
A61,A73,1,A92,A101,1,A121,23,A143,A152,1,A172,1,A191,A201,1
A61,A72,4,A93,A101,1,A122,26,A143,A152,1,A173,1,A191,A201,1
A64,A75,4,A92,A101,4,A122,57,A143,A151,2,A173,1,A192,A201,1
A64,A74,3,A92,A101,2,A122,30,A143,A152,2,A173,1,A191,A201,1
A63,A73,4,A93,A101,4,A121,44,A143,A152,1,A173,1,A192,A201,1
A61,A71,4,A93,A101,4,A122,47,A143,A152,1,A174,1,A192,A201,2
A61,A73,2,A93,A101,4,A123,52,A143,A152,1,A173,1,A192,A201,1
A61,A75,4,A92,A102,4,A124,62,A143,A153,1,A173,1,A192,A201,1
A62,A73,3,A93,A101,2,A121,35,A143,A151,1,A172,1,A191,A202,1
A61,A73,2,A93,A103,3,A122,26,A143,A151,1,A173,1,A191,A201,1
A61,A75,2,A93,A101,2,A124,26,A143,A152,2,A173,1,A191,A201,1
A61,A75,2,A92,A101,4,A124,42,A143,A153,2,A174,1,A192,A201,2
A62,A73,1,A92,A101,1,A122,27,A143,A152,2,A173,1,A191,A201,1
A65,A75,4,A93,A101,4,A122,38,A143,A152,1,A173,1,A191,A201,1
A61,A73,3,A93,A101,2,A121,39,A143,A151,2,A172,2,A191,A202,1
A65,A73,2,A94,A101,4,A123,20,A143,A152,1,A173,1,A191,A201,2
A62,A72,4,A93,A102,1,A124,29,A143,A151,1,A174,1,A192,A201,2
A61,A74,4,A93,A101,3,A122,40,A143,A152,2,A173,1,A191,A201,1
A61,A75,4,A94,A103,2,A121,32,A143,A152,1,A172,1,A191,A201,1
A62,A75,2,A91,A101,4,A123,28,A143,A152,2,A173,2,A192,A201,1
A61,A72,4,A92,A101,1,A122,27,A143,A152,1,A173,1,A191,A201,2
A61,A75,2,A93,A101,4,A124,42,A143,A153,1,A173,2,A191,A201,1
A62,A75,2,A91,A101,4,A121,49,A143,A152,1,A173,1,A191,A201,1
A62,A72,4,A93,A101,4,A124,38,A141,A152,2,A173,2,A191,A201,2
A61,A72,4,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,2
A65,A73,4,A93,A103,4,A122,27,A143,A152,1,A172,1,A191,A201,2
A63,A73,2,A93,A101,2,A123,36,A143,A152,1,A173,1,A192,A201,1
A62,A71,1,A93,A101,2,A122,34,A143,A152,1,A174,2,A192,A201,2
A61,A73,4,A94,A101,2,A122,28,A143,A152,1,A173,1,A191,A201,1
A62,A75,4,A93,A101,2,A123,45,A143,A152,1,A174,1,A192,A201,1
A61,A74,4,A93,A101,2,A121,26,A143,A152,1,A173,1,A191,A201,2
A61,A73,2,A93,A101,2,A124,32,A143,A153,1,A174,1,A192,A201,1
A61,A74,2,A93,A101,4,A122,26,A143,A151,1,A173,1,A192,A201,1
A61,A73,4,A94,A102,4,A121,20,A143,A151,2,A173,1,A191,A201,1
A65,A72,4,A93,A101,1,A122,54,A143,A152,1,A173,1,A191,A201,1
A61,A74,4,A92,A101,3,A122,37,A143,A152,2,A173,1,A191,A202,1
A61,A72,2,A93,A101,4,A121,40,A143,A152,1,A172,2,A191,A202,1
A61,A72,2,A92,A101,4,A122,23,A143,A151,2,A173,1,A192,A201,2
A62,A75,3,A93,A101,2,A122,43,A143,A152,1,A173,1,A192,A201,1
A65,A75,4,A93,A101,4,A124,36,A143,A153,2,A173,1,A191,A201,1
A61,A75,3,A93,A101,4,A124,44,A143,A153,2,A173,1,A191,A201,1
A61,A73,2,A92,A101,2,A121,24,A143,A152,1,A173,1,A191,A201,2
A61,A73,3,A93,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,2
A62,A74,3,A92,A101,4,A123,23,A143,A152,1,A173,1,A191,A201,1
A61,A73,4,A92,A103,4,A121,26,A143,A152,1,A172,2,A191,A201,1
A61,A72,2,A93,A101,3,A123,30,A143,A152,2,A173,1,A191,A201,1
A62,A73,4,A92,A101,3,A123,31,A143,A152,1,A173,1,A191,A201,1
A61,A74,2,A93,A101,1,A121,42,A143,A152,2,A172,2,A191,A201,1
A61,A73,4,A91,A101,4,A123,31,A143,A151,1,A173,1,A191,A201,2
A61,A72,3,A93,A101,4,A121,41,A143,A152,1,A172,2,A192,A201,1
A61,A74,3,A93,A101,1,A123,32,A143,A152,2,A173,2,A191,A201,1
A62,A73,2,A92,A101,4,A123,28,A143,A151,2,A173,1,A192,A201,2
A61,A73,4,A94,A101,4,A121,41,A143,A151,1,A173,1,A191,A201,1
A62,A74,4,A94,A101,3,A122,26,A143,A152,1,A173,1,A192,A201,1
A65,A72,4,A93,A101,2,A123,25,A143,A152,2,A173,1,A191,A201,1
A61,A72,2,A91,A101,1,A123,33,A143,A151,1,A173,1,A191,A201,2
A65,A71,4,A92,A101,3,A122,75,A143,A152,1,A174,1,A192,A201,1
A61,A75,3,A92,A101,4,A122,37,A143,A152,1,A173,1,A192,A201,1
A61,A75,4,A93,A101,4,A124,42,A141,A153,1,A174,1,A191,A201,2
A61,A72,1,A92,A101,1,A122,45,A142,A152,1,A172,1,A191,A201,1
A61,A72,1,A94,A101,1,A121,23,A143,A151,1,A173,1,A191,A201,2
A61,A75,4,A93,A101,4,A124,60,A143,A153,2,A173,1,A192,A201,1
A65,A75,4,A93,A101,4,A122,31,A143,A152,1,A173,1,A191,A201,2
A61,A73,2,A93,A101,1,A121,34,A143,A152,1,A172,2,A191,A201,2
A61,A75,4,A93,A101,4,A121,61,A143,A152,2,A172,1,A191,A201,1
A61,A71,4,A93,A101,2,A121,43,A143,A153,2,A173,2,A191,A201,2
A61,A73,4,A92,A101,4,A123,37,A143,A152,1,A173,1,A192,A201,1
A61,A74,3,A93,A101,1,A123,32,A141,A152,1,A173,2,A191,A201,1
A61,A73,4,A92,A101,4,A121,24,A141,A152,1,A172,1,A191,A201,2
A65,A74,2,A93,A101,1,A124,35,A143,A153,2,A173,1,A192,A201,1
A65,A74,4,A92,A101,4,A121,23,A143,A152,2,A173,1,A191,A201,1
A63,A75,2,A93,A101,4,A122,45,A141,A152,1,A172,2,A191,A201,1
A61,A74,1,A94,A103,1,A121,34,A143,A152,2,A173,1,A192,A201,2
A62,A72,4,A93,A101,1,A123,27,A143,A152,1,A173,1,A191,A201,1
A61,A74,4,A92,A101,4,A122,67,A143,A152,2,A174,1,A192,A201,1
A61,A72,2,A93,A101,1,A123,22,A142,A152,1,A173,1,A191,A201,2
A62,A72,3,A92,A101,3,A123,28,A143,A152,2,A173,1,A191,A201,2
A65,A73,1,A92,A101,4,A122,29,A141,A152,2,A173,1,A192,A201,2
A61,A74,3,A93,A101,4,A123,27,A141,A152,1,A173,1,A191,A201,2
A61,A72,2,A93,A101,2,A121,31,A143,A152,2,A172,1,A191,A201,2
A65,A75,4,A93,A101,4,A124,49,A141,A153,1,A173,2,A192,A201,1
A61,A74,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A191,A201,2
A61,A72,2,A92,A101,1,A122,29,A141,A152,1,A173,1,A191,A201,1
A65,A73,1,A93,A101,4,A124,37,A143,A153,1,A173,1,A192,A201,2
A65,A73,4,A93,A101,2,A122,37,A141,A152,2,A174,1,A192,A201,1
A62,A74,3,A92,A101,2,A122,23,A143,A151,2,A173,1,A192,A201,1
A61,A74,2,A91,A101,3,A123,36,A143,A152,1,A173,1,A191,A201,2
A64,A75,2,A93,A101,2,A123,34,A143,A152,1,A173,1,A191,A201,1
A65,A74,4,A93,A101,1,A123,41,A143,A152,2,A173,2,A192,A201,1
A61,A73,3,A92,A101,2,A123,31,A143,A152,1,A173,1,A192,A201,2
A61,A72,4,A92,A101,4,A121,23,A143,A151,1,A172,1,A192,A201,2
A61,A74,3,A93,A102,2,A123,38,A143,A152,1,A173,1,A191,A201,1
A65,A71,2,A92,A101,4,A122,26,A143,A151,1,A174,1,A192,A201,1
A61,A73,4,A92,A101,4,A122,22,A143,A152,1,A172,1,A191,A201,1
A61,A75,4,A93,A101,4,A123,27,A143,A152,2,A172,1,A191,A201,1
A61,A74,2,A92,A102,3,A123,24,A141,A152,2,A173,1,A191,A201,1
A61,A74,2,A92,A101,1,A121,27,A143,A152,1,A173,1,A191,A201,1
A65,A73,3,A92,A101,2,A123,33,A143,A152,2,A173,1,A192,A201,1
A61,A72,4,A91,A101,4,A123,27,A143,A152,2,A173,1,A191,A201,2
A61,A72,4,A94,A101,3,A123,27,A143,A152,2,A172,1,A191,A201,1
A61,A75,3,A93,A103,3,A121,30,A141,A152,2,A173,1,A191,A201,2
A61,A72,1,A93,A101,3,A121,49,A141,A152,2,A172,2,A191,A201,1
A61,A73,4,A92,A101,2,A121,26,A143,A151,1,A173,1,A191,A201,1
A61,A72,4,A93,A101,1,A124,33,A143,A151,1,A172,1,A191,A201,2
A65,A75,4,A92,A101,4,A124,52,A143,A153,1,A174,1,A192,A201,1
A61,A73,1,A92,A101,4,A121,20,A141,A151,1,A173,1,A191,A201,2
A61,A73,2,A93,A101,2,A121,36,A143,A151,2,A173,2,A191,A201,1
A61,A73,4,A93,A103,1,A122,21,A143,A152,1,A172,1,A191,A201,1
A61,A73,4,A94,A101,3,A121,47,A143,A152,1,A172,1,A192,A201,2
A61,A75,3,A93,A101,3,A122,60,A143,A152,2,A173,1,A191,A201,2
A61,A74,4,A92,A101,3,A121,58,A143,A152,4,A172,1,A192,A201,1
A65,A73,4,A92,A101,4,A123,42,A143,A151,2,A173,1,A192,A201,1
A64,A75,4,A92,A101,4,A121,36,A141,A152,1,A172,1,A191,A201,1
A61,A73,3,A92,A101,4,A122,20,A143,A151,1,A172,1,A192,A201,2
A65,A75,4,A93,A101,3,A123,40,A142,A152,1,A174,1,A192,A201,2
A62,A72,1,A92,A101,1,A122,32,A142,A152,1,A172,1,A191,A201,2
A61,A74,4,A92,A101,4,A123,23,A143,A151,2,A173,1,A191,A201,2
A61,A73,1,A93,A101,4,A121,36,A143,A152,3,A172,1,A192,A201,2
A61,A74,2,A93,A101,2,A122,31,A141,A152,2,A173,1,A191,A201,2
A61,A73,1,A93,A101,2,A124,32,A143,A153,1,A173,1,A191,A201,1
A61,A72,1,A92,A103,1,A121,45,A143,A152,1,A173,1,A191,A201,1
A61,A73,4,A92,A101,1,A122,30,A143,A152,1,A173,1,A191,A201,2
A61,A74,4,A92,A101,4,A124,34,A141,A153,1,A172,1,A191,A201,2
A61,A73,4,A92,A101,2,A123,28,A143,A152,1,A174,1,A192,A201,2
A61,A72,4,A92,A101,2,A122,23,A143,A152,1,A173,1,A191,A201,1
A63,A73,4,A93,A101,4,A121,22,A142,A152,1,A173,1,A192,A201,1
A61,A73,3,A93,A101,2,A121,74,A143,A152,1,A174,1,A192,A201,1
A62,A73,4,A92,A102,4,A124,50,A143,A153,1,A173,1,A191,A201,2
A61,A72,4,A93,A101,1,A121,33,A143,A152,1,A173,1,A191,A201,1
A65,A75,4,A93,A101,4,A124,45,A141,A153,1,A173,2,A191,A201,1
A62,A71,4,A92,A101,3,A122,22,A143,A152,1,A173,1,A191,A201,2
A62,A75,1,A92,A101,4,A124,48,A143,A153,1,A172,2,A191,A201,2
A64,A72,4,A92,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,1
A61,A73,1,A92,A103,4,A123,22,A141,A151,1,A173,1,A191,A202,1
A61,A74,4,A92,A101,1,A121,22,A143,A152,1,A173,1,A191,A201,2
A65,A73,2,A93,A101,2,A123,48,A141,A152,1,A174,1,A192,A201,1
A65,A73,2,A93,A101,2,A124,27,A143,A153,1,A174,1,A191,A201,1
A61,A73,1,A93,A101,3,A121,37,A143,A151,3,A173,2,A191,A201,1
A62,A73,2,A92,A102,4,A123,21,A143,A151,1,A173,1,A191,A201,2
A61,A73,4,A91,A101,2,A121,49,A143,A152,1,A172,1,A191,A201,1
A61,A74,2,A93,A101,3,A122,27,A143,A152,2,A173,1,A191,A201,1
A61,A73,3,A93,A101,2,A122,32,A141,A152,2,A173,1,A191,A201,2
A65,A73,4,A91,A101,2,A121,38,A141,A152,1,A173,1,A191,A201,2
A61,A72,4,A92,A101,1,A123,22,A143,A151,1,A173,1,A191,A201,1
A61,A73,4,A93,A101,4,A124,65,A143,A153,2,A173,1,A191,A201,2
A65,A75,4,A93,A101,2,A123,35,A143,A152,1,A173,1,A191,A201,1
A61,A73,2,A93,A101,2,A121,41,A143,A152,1,A173,1,A192,A201,1
A62,A74,2,A93,A101,3,A124,29,A143,A152,1,A173,1,A191,A201,2
A63,A73,4,A93,A101,4,A121,36,A143,A152,2,A173,1,A192,A201,1
A65,A75,1,A93,A101,4,A121,64,A143,A152,1,A172,1,A191,A201,1
A61,A73,2,A92,A101,4,A123,28,A143,A152,1,A173,1,A191,A201,1
A61,A73,4,A93,A101,3,A123,44,A141,A152,1,A173,1,A191,A201,2
A65,A72,4,A93,A101,1,A122,23,A143,A152,1,A173,1,A191,A201,1
A61,A72,2,A92,A102,2,A123,19,A143,A151,2,A173,1,A191,A201,2
A61,A72,3,A92,A101,4,A123,25,A143,A152,1,A172,1,A192,A201,2
A61,A75,4,A93,A101,4,A122,47,A141,A152,3,A173,2,A192,A201,1
A63,A74,4,A92,A101,1,A123,28,A143,A152,1,A173,1,A191,A201,1
A61,A74,2,A93,A101,4,A123,21,A143,A152,2,A173,1,A192,A201,1
A61,A72,4,A92,A101,3,A123,34,A143,A152,1,A173,2,A191,A201,1
A61,A74,3,A93,A101,2,A122,26,A141,A152,2,A173,2,A192,A201,2
A61,A71,4,A92,A101,1,A121,27,A143,A152,1,A171,1,A191,A201,2
A61,A75,4,A93,A101,4,A123,38,A143,A152,2,A172,1,A191,A201,1
A62,A73,3,A93,A101,2,A122,40,A143,A152,1,A174,1,A192,A201,2
A61,A74,4,A94,A103,2,A123,33,A143,A152,2,A173,1,A192,A201,1
A61,A74,4,A94,A101,1,A122,32,A143,A152,2,A174,1,A192,A201,1
A65,A72,4,A93,A101,4,A123,27,A143,A151,2,A173,1,A192,A201,2
A61,A73,2,A91,A103,2,A121,32,A143,A152,2,A173,1,A191,A201,1
A63,A73,2,A92,A101,2,A122,26,A143,A152,1,A173,1,A191,A201,2
A61,A74,4,A93,A101,3,A124,38,A141,A153,1,A173,2,A191,A201,2
A61,A73,4,A93,A101,4,A123,40,A143,A151,1,A172,2,A191,A201,2
A61,A74,4,A93,A101,1,A124,50,A143,A153,1,A174,1,A192,A201,1
A61,A73,4,A93,A101,2,A122,37,A143,A152,1,A172,1,A191,A201,2
A61,A75,4,A93,A102,1,A121,45,A143,A152,1,A173,1,A191,A201,2
A62,A75,2,A93,A101,4,A123,42,A143,A152,4,A174,1,A192,A201,2
A61,A74,4,A93,A101,3,A123,35,A143,A152,2,A173,1,A192,A201,1
A61,A71,1,A93,A101,4,A124,22,A143,A153,1,A173,1,A191,A201,1
A61,A75,4,A93,A101,4,A123,41,A141,A152,1,A172,2,A191,A201,2
A65,A74,4,A93,A101,3,A123,37,A142,A152,1,A173,1,A192,A201,1
A61,A73,2,A92,A101,1,A123,28,A143,A152,2,A173,1,A191,A201,1
A61,A75,2,A93,A101,1,A124,41,A143,A152,1,A173,1,A192,A201,1
